EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
pps=0; bps=0;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361441; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361473; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361505; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361537; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361569; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361601; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361633; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361665; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361697; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361729; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361761; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361793; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361825; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361857; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361889; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361921; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361953; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=361985; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362017; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362049; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362081; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362113; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362625; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362657; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362689; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362721; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362817; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362849; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362881; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362913; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362945; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=362977; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363009; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363041; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363073; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363105; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363137; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363169; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363201; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363233; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363265; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363297; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363329; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363361; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363393; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363425; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363457; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363489; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363521; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363553; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363585; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363617; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363649; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=363681; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364417; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364449; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364481; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364513; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364545; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364577; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364609; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364641; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364673; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364705; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364737; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364769; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364801; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364833; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364865; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364897; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364929; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364961; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=364993; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365025; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365057; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365089; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365121; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365153; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365185; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365217; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365249; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365281; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365313; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365345; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365377; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=365409; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366081; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366113; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366145; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366177; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366305; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366337; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366369; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366401; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366433; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366465; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366497; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366529; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366561; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366593; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366625; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366657; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366689; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366721; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366753; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366785; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366817; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=366849; expected_seq=355137;
